team_list_id,tournament_count,player_count,best_placement,first_seen_date,first_seen_tournament_id,first_seen_event_id,regulation_set,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
6469,1,1,21,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6469,6469,2026-08-03 08:41:23.658111+00,0.2.0
6484,1,1,37,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6484,6484,2026-08-03 08:41:23.658111+00,0.2.0
6487,1,1,40,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6487,6487,2026-08-03 08:41:23.658111+00,0.2.0
6488,1,1,41,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6488,6488,2026-08-03 08:41:23.658111+00,0.2.0
6491,1,2,44,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6491,6491,2026-08-03 08:41:23.658111+00,0.2.0
6492,1,2,45,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6492,6492,2026-08-03 08:41:23.658111+00,0.2.0
6493,1,4,46,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6493,6493,2026-08-03 08:41:23.658111+00,0.2.0
6494,1,1,47,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6494,6494,2026-08-03 08:41:23.658111+00,0.2.0
6498,1,1,51,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6498,6498,2026-08-03 08:41:23.658111+00,0.2.0
6500,1,2,53,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6500,6500,2026-08-03 08:41:23.658111+00,0.2.0
6509,1,1,63,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6509,6509,2026-08-03 08:41:23.658111+00,0.2.0
6516,1,1,71,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6516,6516,2026-08-03 08:41:23.658111+00,0.2.0
6517,1,1,72,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6517,6517,2026-08-03 08:41:23.658111+00,0.2.0
6522,1,1,81,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6522,6522,2026-08-03 08:41:23.658111+00,0.2.0
6527,1,1,86,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6527,6527,2026-08-03 08:41:23.658111+00,0.2.0
6529,1,1,92,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6529,6529,2026-08-03 08:41:23.658111+00,0.2.0
6536,1,2,101,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6536,6536,2026-08-03 08:41:23.658111+00,0.2.0
6538,1,1,103,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6538,6538,2026-08-03 08:41:23.658111+00,0.2.0
6539,1,1,104,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6539,6539,2026-08-03 08:41:23.658111+00,0.2.0
6541,1,3,106,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6541,6541,2026-08-03 08:41:23.658111+00,0.2.0
6542,1,1,107,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6542,6542,2026-08-03 08:41:23.658111+00,0.2.0
6544,1,1,112,2026-05-30,434,IN02wbUMQOt2eNv12cgC,m-a,Limitless VGC,https://limitlessvgc.com/teams/6544,6544,2026-08-03 08:41:23.658111+00,0.2.0
